review_id,customer_name,age,brand,model,price_usd,currency,exchange_rate_to_usd,rating,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,source,price_usd_log,sentiment_encoded,verified_purchase_encoded,sentiment_enc,verified_enc,brand_enc,model_enc,country_enc,cluster
63,Benjamin Pacheco,48,Apple,iPhone 14,1282.55,BRL,5.7,3,Positive,Brazil,Portuguese,2025-02-10,True,3,2,3,3,3,3,AliExpress,7.157384955532174,2,1,2,1,0,19,1,1
64,Erik Williams,31,Apple,iPhone 15 Pro,1460.19,CAD,1.38,3,Positive,Canada,English,2024-10-31,True,1,3,3,3,4,7,Amazon,7.287006451207592,2,1,2,1,0,20,2,1
66,Cody Larson,19,Google,Pixel 7a,857.76,USD,1.0,4,Positive,USA,English,2025-09-04,True,5,3,4,4,2,6,BestBuy,6.755489488301364,2,1,2,1,1,11,7,1
67,Dipl.-Ing. Bruno Roskoth B.A.,40,Xiaomi,Poco X6,635.05,EUR,0.93,4,Positive,Germany,German,2025-04-08,True,3,5,5,3,3,4,eBay,6.45527717660222,2,1,2,1,6,13,3,1
68,Lorenzo Butte,18,Realme,Realme 12 Pro,300.64,EUR,0.93,5,Positive,Germany,German,2024-08-03,True,3,3,5,4,4,8,Flipkart,5.709234253334446,2,1,2,1,4,15,3,1
69,Krystal Stewart,24,Xiaomi,Poco X6,503.87,AUD,1.53,3,Positive,Australia,English,2023-12-01,True,2,2,2,4,4,4,Flipkart,6.224300970393092,2,1,2,1,6,13,0,1
71,Carlos Brewer,20,OnePlus,OnePlus 12,615.49,CAD,1.38,5,Positive,Canada,English,2024-10-01,False,4,4,5,3,1,9,Flipkart,6.424042101872682,2,0,2,0,3,8,2,1
74,Thiago da Luz,29,Motorola,Edge 50,656.62,BRL,5.7,4,Positive,Brazil,Portuguese,2023-05-15,False,3,3,3,2,3,4,AliExpress,6.488627256904789,2,0,2,0,2,0,1,1
75,Shirley Suarez,24,Xiaomi,Redmi Note 13,510.46,CAD,1.38,4,Positive,Canada,English,2024-05-18,True,3,1,4,5,2,6,eBay,6.23726938096527,2,1,2,1,6,17,2,1
77,Victoria Valdez,33,Motorola,Razr 40,790.39,AED,3.67,4,Positive,UAE,English,2022-11-03,True,2,5,3,5,4,5,Flipkart,6.673790893036262,2,1,2,1,2,14,5,1
79,Franco Drub-Döring,39,Xiaomi,Redmi Note 13,490.99,EUR,0.93,3,Positive,Germany,German,2025-02-27,True,2,2,2,2,5,4,AliExpress,6.198458391082497,2,1,2,1,6,17,3,1
80,Abigail Bird,29,Apple,iPhone 13,1084.41,GBP,0.78,4,Positive,UK,English,2023-09-14,True,2,5,4,3,4,3,Flipkart,6.989713074780156,2,1,2,1,0,18,6,1
81,Sra. Gabrielly Rodrigues,27,Apple,iPhone 15 Pro,726.56,BRL,5.7,3,Positive,Brazil,Portuguese,2025-07-03,True,4,3,2,3,4,2,Flipkart,6.589696469871639,2,1,2,1,0,20,1,1
82,Thiago Mendonça,33,Motorola,Moto G Power,524.78,BRL,5.7,3,Neutral,Brazil,Portuguese,2023-11-16,True,3,2,4,3,3,3,AliExpress,6.2648828742958145,1,1,1,1,2,6,1,1
83,George Sampath,24,Xiaomi,Mi 13 Pro,565.79,INR,83.0,3,Positive,India,Hindi,2023-12-25,True,3,4,5,2,2,5,eBay,6.3399888647533365,2,1,2,1,6,5,4,1
84,Gavin Anderson,40,Google,Pixel 6,518.39,CAD,1.38,5,Positive,Canada,English,2023-12-02,True,4,5,5,3,4,5,eBay,6.252655046059094,2,1,2,1,1,10,2,1
85,Jeremy Thornton,24,Apple,iPhone 15 Pro,1280.21,AUD,1.53,3,Positive,Australia,English,2025-03-11,False,3,3,3,1,4,4,Flipkart,7.155560222887184,2,0,2,0,0,20,0,1
86,Isaac Borra,29,Google,Pixel 6,1082.84,INR,83.0,5,Positive,India,Hindi,2025-09-29,True,5,5,4,5,2,5,eBay,6.988265569629407,2,1,2,1,1,10,4,1
87,Teresa Fowler,33,Samsung,Galaxy Z Flip,1056.74,GBP,0.78,4,Positive,UK,English,2024-05-17,True,3,4,4,2,4,5,Flipkart,6.963889835525707,2,1,2,1,5,4,6,1
89,Timothy Stanton,30,OnePlus,OnePlus 12,525.34,AED,3.67,5,Positive,UAE,English,2022-12-22,False,5,4,5,3,5,5,BestBuy,6.265947391751775,2,0,2,0,3,8,5,1
92,Vincenzo Hellwig-Fröhlich,33,Samsung,Galaxy Z Flip,1377.17,EUR,0.93,3,Positive,Germany,German,2023-07-24,True,3,4,3,2,3,7,Amazon,7.228511811163336,2,1,2,1,5,4,3,1
95,Ashley Brennan,32,Apple,iPhone SE,856.62,USD,1.0,5,Positive,USA,English,2024-10-22,True,5,4,4,4,3,6,eBay,6.7541611109401325,2,1,2,1,0,21,7,1
96,Robert Stevens,28,Realme,Realme Narzo 70,294.5,USD,1.0,4,Positive,USA,English,2024-02-08,True,3,3,4,5,4,5,eBay,5.688668836846153,2,1,2,1,4,16,7,1
97,Shelby Walker,31,Motorola,Moto G Power,530.14,USD,1.0,4,Positive,USA,English,2025-08-12,True,5,4,3,4,4,6,eBay,6.27502563997546,2,1,2,1,2,6,7,1
98,Murilo Farias,23,Realme,Realme 12 Pro,525.5,BRL,5.7,3,Positive,Brazil,Portuguese,2023-12-28,True,3,2,5,1,3,4,AliExpress,6.26625133157403,2,1,2,1,4,15,1,1
101,Danilo da Luz,18,Google,Pixel 6,541.65,BRL,5.7,4,Positive,Brazil,Portuguese,2023-07-26,True,4,4,2,4,5,6,BestBuy,6.296464544892024,2,1,2,1,1,10,1,1
102,Victoria Johnson,20,Samsung,Galaxy Z Flip,1357.63,CAD,1.38,3,Positive,Canada,English,2025-05-05,True,3,2,3,4,2,6,AliExpress,7.214232118067949,2,1,2,1,5,4,2,1
104,Kayla Cruz,22,Xiaomi,Poco X6,351.56,CAD,1.38,4,Positive,Canada,English,2025-04-04,True,3,4,4,3,2,9,Amazon,5.8652208205337315,2,1,2,1,6,13,2,1
105,Andrew Graham,35,Apple,iPhone SE,1353.96,CAD,1.38,4,Positive,Canada,English,2025-01-06,True,3,3,2,3,2,9,AliExpress,7.211527212582866,2,1,2,1,0,21,2,1
106,Kimberly Ball,26,OnePlus,OnePlus Nord 3,676.67,AUD,1.53,5,Positive,Australia,English,2025-08-28,True,4,5,5,3,4,4,eBay,6.518660443787294,2,1,2,1,3,9,0,1
108,Lisa Alvarado,19,Apple,iPhone 13,1199.12,CAD,1.38,4,Positive,Canada,English,2023-05-03,True,3,3,4,3,2,4,store,7.090176830776425,2,1,2,1,0,18,2,1
109,Jolanthe Jessel,33,Motorola,Razr 40,449.69,EUR,0.93,4,Positive,Germany,German,2025-08-22,True,2,4,3,4,4,4,BestBuy,6.110779741742442,2,1,2,1,2,14,3,1
113,Roy Torres,37,OnePlus,OnePlus Nord 3,463.17,USD,1.0,5,Positive,USA,English,2023-09-13,True,5,4,3,5,4,5,AliExpress,6.14025086443609,2,1,2,1,3,9,7,1
114,Miss Joan Williams,30,Realme,Realme 12 Pro,515.46,GBP,0.78,4,Positive,UK,English,2025-09-05,True,4,5,4,4,5,4,Flipkart,6.246997841223843,2,1,2,1,4,15,6,1
115,John Santana,31,Apple,iPhone 15 Pro,1045.66,CAD,1.38,4,Positive,Canada,English,2023-07-12,True,3,3,4,3,2,9,eBay,6.9533594207871525,2,1,2,1,0,20,2,1
120,Prof. Sigrid Wilmsen B.Sc.,24,Apple,iPhone 13,1195.67,EUR,0.93,3,Positive,Germany,German,2024-09-28,True,5,2,3,4,5,7,AliExpress,7.087297978325656,2,1,2,1,0,18,3,1
121,Univ.Prof. Leni Gude,39,Samsung,Galaxy A55,458.55,EUR,0.93,5,Positive,Germany,German,2025-10-07,True,5,5,3,4,4,6,BestBuy,6.130247749804118,2,1,2,1,5,1,3,1
123,Tim Weitzel,37,Realme,Realme Narzo 70,332.14,EUR,0.93,3,Neutral,Germany,German,2023-04-05,True,2,4,5,3,3,4,AliExpress,5.808562822048962,1,1,1,1,4,16,3,1
124,Colleen Brock,46,Apple,iPhone 15 Pro,1282.35,AUD,1.53,4,Positive,Australia,English,2025-10-07,True,3,3,4,3,4,4,Flipkart,7.157229125542377,2,1,2,1,0,20,0,1
125,Anika Roht B.A.,27,Realme,Realme 12 Pro,298.52,EUR,0.93,4,Positive,Germany,German,2023-04-28,True,3,3,3,5,3,3,Flipkart,5.702181193289227,2,1,2,1,4,15,3,1
126,Robert Contreras,32,Xiaomi,Poco X6,405.55,AED,3.67,4,Positive,UAE,English,2025-03-08,False,4,4,4,3,3,5,eBay,6.007706922653846,2,0,2,0,6,13,5,1
127,Tiffany Vance,33,Realme,Realme Narzo 70,417.44,USD,1.0,4,Positive,USA,English,2025-05-30,True,3,3,3,3,4,5,BestBuy,6.03653351047556,2,1,2,1,4,16,7,1
128,Dr Henry Williams,29,Realme,Realme 12 Pro,477.29,GBP,0.78,4,Positive,UK,English,2023-06-26,True,3,2,3,3,5,4,BestBuy,6.170217243087384,2,1,2,1,4,15,6,1
129,Shivani Lad,22,Realme,Realme Narzo 70,518.69,INR,83.0,3,Positive,India,Hindi,2023-11-10,True,2,2,3,4,3,6,BestBuy,6.253232479958959,2,1,2,1,4,16,4,1
130,Vedhika Khare,30,Apple,iPhone 15 Pro,752.16,INR,83.0,4,Positive,India,Hindi,2023-12-22,True,4,3,3,5,4,7,Flipkart,6.6242776886282275,2,1,2,1,0,20,4,1
132,Joshua Taylor,32,Samsung,Galaxy Note 20,602.02,AED,3.67,4,Positive,UAE,English,2023-10-16,True,4,3,2,3,4,9,AliExpress,6.40195036367301,2,1,2,1,5,2,5,1
133,Ms Lindsey Stevens,55,Motorola,Edge 50,297.34,GBP,0.78,5,Positive,UK,English,2024-07-27,True,5,5,5,4,5,7,Amazon,5.698233775725784,2,1,2,1,2,0,6,1
137,Tommy Evans,31,Realme,Realme 12 Pro,193.94,USD,1.0,4,Positive,USA,English,2024-06-18,True,4,4,4,5,4,6,AliExpress,5.272691818909064,2,1,2,1,4,15,7,1
140,Allen Rogers,18,Xiaomi,Mi 13 Pro,434.38,CAD,1.38,4,Positive,Canada,English,2025-09-11,True,4,5,3,4,4,4,eBay,6.0762192129727906,2,1,2,1,6,5,2,1
141,Misty Pittman,41,Apple,iPhone SE,1335.66,AED,3.67,4,Positive,UAE,English,2023-05-08,False,3,4,4,4,4,7,Flipkart,7.197929244088895,2,0,2,0,0,21,5,1
144,Kate Clayton,40,Xiaomi,Poco X6,458.29,GBP,0.78,3,Positive,UK,English,2023-11-30,True,2,3,5,3,2,3,BestBuy,6.129681818832591,2,1,2,1,6,13,6,1
145,Lunna Cunha,40,OnePlus,OnePlus 11R,574.4,BRL,5.7,4,Positive,Brazil,Portuguese,2024-09-27,False,3,3,2,2,4,6,AliExpress,6.355065451117447,2,0,2,0,3,7,1,1
146,Philip Gray,46,Xiaomi,Mi 13 Pro,518.2,AED,3.67,4,Positive,UAE,English,2024-08-06,True,4,3,3,1,3,3,Flipkart,6.252289165389881,2,1,2,1,6,5,5,1
147,Bradley Smith,34,Realme,Realme Narzo 70,213.68,CAD,1.38,4,Positive,Canada,English,2025-02-05,False,2,5,3,4,4,5,Amazon,5.369148547308628,2,0,2,0,4,16,2,1
148,Willibert Killer,29,Xiaomi,Redmi Note 13,466.98,EUR,0.93,4,Positive,Germany,German,2023-10-05,True,3,3,2,3,4,6,Amazon,6.148425559961744,2,1,2,1,6,17,3,1
152,Julie Scott,35,Realme,Realme Narzo 70,383.95,AED,3.67,4,Positive,UAE,English,2024-05-17,False,4,3,3,3,3,1,eBay,5.953113455724059,2,0,2,0,4,16,5,1
153,Katy Jenkins,27,OnePlus,OnePlus 11R,841.54,GBP,0.78,4,Positive,UK,English,2023-04-17,False,4,3,5,4,3,4,AliExpress,6.736421138844292,2,0,2,0,3,7,6,1
155,Eric Byrd,53,Xiaomi,Mi 13 Pro,269.6,USD,1.0,4,Positive,USA,English,2024-05-27,True,4,4,5,5,3,3,AliExpress,5.600641715736688,2,1,2,1,6,5,7,1
158,Barbara Riggs,35,Motorola,Edge 50,788.44,AUD,1.53,5,Positive,Australia,English,2022-12-24,True,5,5,5,4,4,7,Flipkart,6.671323833340992,2,1,2,1,2,0,0,1
160,Gloria Atkinson,24,Realme,Realme 12 Pro,582.13,USD,1.0,3,Positive,USA,English,2024-11-21,True,3,3,3,3,2,7,Flipkart,6.368410146055737,2,1,2,1,4,15,7,1
161,Tyler Reid,24,Samsung,Galaxy A55,807.54,AUD,1.53,4,Positive,Australia,English,2024-10-05,False,4,3,4,4,3,4,BestBuy,6.695230152128535,2,0,2,0,5,1,0,1
162,Heinz-Joachim Gierschner-Wagner,22,Motorola,Moto G Power,441.72,EUR,0.93,4,Positive,Germany,German,2025-01-09,True,3,4,3,3,1,6,Amazon,6.092937516038615,2,1,2,1,2,6,3,1
163,Júlia Pimenta,18,Samsung,Galaxy A55,1288.66,BRL,5.7,5,Positive,Brazil,Portuguese,2025-02-04,True,4,5,3,5,5,6,eBay,7.162133896724651,2,1,2,1,5,1,1,1
164,Julie Petersen,24,Apple,iPhone SE,927.42,USD,1.0,4,Positive,USA,English,2025-04-29,True,4,3,5,4,3,3,store,6.833484216606851,2,1,2,1,0,21,7,1
165,Samuel Rivas,21,Google,Pixel 7a,1003.6,AUD,1.53,5,Positive,Australia,English,2023-03-05,True,4,4,3,4,4,7,AliExpress,6.912344731315945,2,1,2,1,1,11,0,1
166,Jerry Christensen,44,Google,Pixel 7a,796.29,CAD,1.38,4,Positive,Canada,English,2025-03-25,False,5,5,5,5,5,4,BestBuy,6.681218477099429,2,0,2,0,1,11,2,1
169,Hilary Harrison-White,36,Realme,Realme Narzo 70,479.55,GBP,0.78,4,Positive,UK,English,2022-11-06,False,3,3,4,2,4,1,AliExpress,6.174931281269293,2,0,2,0,4,16,6,1
170,Frederick Khurana,27,Xiaomi,Mi 13 Pro,368.67,INR,83.0,4,Positive,India,Hindi,2024-07-14,True,3,1,3,5,4,1,Flipkart,5.912610715774155,2,1,2,1,6,5,4,1
171,Peter Vaughn DDS,41,Motorola,Moto G Power,778.1,USD,1.0,3,Positive,USA,English,2024-11-22,True,3,3,3,3,3,2,BestBuy,6.6581394073368125,2,1,2,1,2,6,7,1
173,Elizabeth Perkins,18,Apple,iPhone 14,752.56,AUD,1.53,4,Positive,Australia,English,2024-10-26,True,3,5,4,4,2,5,Flipkart,6.624808643297174,2,1,2,1,0,19,0,1
175,Miss Diana Price,50,Apple,iPhone SE,817.84,GBP,0.78,3,Positive,UK,English,2024-02-10,True,1,3,5,3,2,4,Amazon,6.7078887045724205,2,1,2,1,0,21,6,1
176,Megan O'Neill-Lucas,34,Realme,Realme 12 Pro,249.61,GBP,0.78,4,Positive,UK,English,2023-04-25,True,4,4,4,3,2,4,Flipkart,5.523897945895664,2,1,2,1,4,15,6,1
179,Brian Lee,27,Google,Pixel 8,757.22,AED,3.67,5,Positive,UAE,English,2023-10-10,False,4,4,5,4,4,8,Amazon,6.630973580998645,2,0,2,0,1,12,5,1
181,William Tran,39,Xiaomi,Poco X6,490.04,USD,1.0,3,Positive,USA,English,2025-10-09,True,3,2,4,2,2,4,Amazon,6.196525590871426,2,1,2,1,6,13,7,1
183,Adam Mitchell,18,Google,Pixel 6,522.54,AUD,1.53,5,Positive,Australia,English,2024-11-03,True,4,3,3,4,5,6,AliExpress,6.260613436178599,2,1,2,1,1,10,0,1
185,Austin Vasquez,18,Xiaomi,Mi 13 Pro,590.32,AED,3.67,3,Neutral,UAE,English,2025-04-05,True,4,2,2,3,4,5,BestBuy,6.382357326032889,1,1,1,1,6,5,5,1
186,Cord Fischer,36,Xiaomi,Mi 13 Pro,660.5,EUR,0.93,5,Neutral,Germany,German,2025-03-14,True,5,5,4,4,3,5,eBay,6.494509983555011,1,1,1,1,6,5,3,1
187,Angela Wright,26,Apple,iPhone 14,1457.67,USD,1.0,3,Positive,USA,English,2025-03-06,True,3,3,2,2,1,6,BestBuy,7.285280340623053,2,1,2,1,0,19,7,1
188,Upkaar Virk,32,Motorola,Edge 50,717.58,INR,83.0,4,Positive,India,Hindi,2024-06-03,True,5,3,3,2,2,8,eBay,6.577277042396752,2,1,2,1,2,0,4,1
190,Miss Ruth Houghton,28,Apple,iPhone 13,1248.36,GBP,0.78,5,Positive,UK,English,2025-05-26,False,4,5,5,5,5,3,BestBuy,7.13038669917959,2,0,2,0,0,18,6,1
191,Annette Farmer,29,Motorola,Razr 40,366.71,AUD,1.53,4,Positive,Australia,English,2025-06-19,True,4,3,3,3,4,4,eBay,5.907294584021184,2,1,2,1,2,14,0,1
192,Aishani Bumb,39,Motorola,Razr 40,489.82,INR,83.0,5,Positive,India,Hindi,2023-06-22,True,3,5,5,4,5,4,BestBuy,6.196077461802757,2,1,2,1,2,14,4,1
195,João Pedro Santos,29,Apple,iPhone 13,1166.34,BRL,5.7,4,Positive,Brazil,Portuguese,2024-01-04,True,5,3,4,2,3,5,store,7.062482935183652,2,1,2,1,0,18,1,1
196,Jordan Mcdaniel,47,OnePlus,OnePlus 11R,820.24,AUD,1.53,4,Positive,Australia,English,2023-12-06,False,5,2,4,3,4,3,Flipkart,6.710815393164563,2,0,2,0,3,7,0,1
197,Lori Guerrero,21,Samsung,Galaxy S24,648.38,USD,1.0,3,Positive,USA,English,2023-08-25,True,2,2,3,4,2,9,eBay,6.47601806153511,2,1,2,1,5,3,7,1
199,Susan Serrano,22,OnePlus,OnePlus Nord 3,808.55,USD,1.0,5,Positive,USA,English,2023-02-09,True,4,5,4,4,5,3,BestBuy,6.696478537732761,2,1,2,1,3,9,7,1
204,Lindsey Johnson,18,Xiaomi,Redmi Note 13,311.18,AED,3.67,3,Positive,UAE,English,2023-10-12,True,3,2,2,2,2,8,store,5.743579944530267,2,1,2,1,6,17,5,1
205,Alícia Teixeira,39,Xiaomi,Poco X6,450.06,BRL,5.7,4,Positive,Brazil,Portuguese,2025-08-31,True,2,4,3,4,3,5,BestBuy,6.111600368347962,2,1,2,1,6,13,1,1
206,Laura Hines,56,Samsung,Galaxy Z Flip,819.27,AUD,1.53,4,Positive,Australia,English,2023-07-21,False,2,5,4,4,5,7,Flipkart,6.709633554354074,2,0,2,0,5,4,0,1
210,Miss Hollie Webb,44,Samsung,Galaxy S24,540.32,GBP,0.78,3,Neutral,UK,English,2023-06-28,True,3,2,2,3,3,6,Flipkart,6.294010601208305,1,1,1,1,5,3,6,1
214,April Booth,25,Google,Pixel 8,919.37,AUD,1.53,4,Positive,Australia,English,2024-10-08,True,3,3,4,3,4,9,eBay,6.824775763105878,2,1,2,1,1,12,0,1
215,Cody Cox,36,Apple,iPhone 14,753.8,AUD,1.53,5,Positive,Australia,English,2024-12-04,True,3,4,4,4,5,3,Amazon,6.626452813494395,2,1,2,1,0,19,0,1
216,Melina Teixeira,33,Google,Pixel 6,958.61,BRL,5.7,4,Neutral,Brazil,Portuguese,2023-01-10,True,5,5,5,4,5,5,Amazon,6.866526951919995,1,1,1,1,1,10,1,1
217,Joshua Pennington,18,Xiaomi,Poco X6,314.44,CAD,1.38,3,Neutral,Canada,English,2024-09-01,True,3,3,2,3,4,3,Flipkart,5.753968489569372,1,1,1,1,6,13,2,1
220,Karl-Dieter Ladeck,31,OnePlus,OnePlus Nord 3,722.19,EUR,0.93,4,Positive,Germany,German,2023-03-15,True,4,2,5,3,3,9,AliExpress,6.583671981548739,2,1,2,1,3,9,3,1
222,Martin Morley,23,OnePlus,OnePlus Nord 3,600.64,GBP,0.78,4,Positive,UK,English,2024-01-18,True,3,2,3,2,3,4,Flipkart,6.399659259787012,2,1,2,1,3,9,6,1
223,Júlia Leão,31,OnePlus,OnePlus Nord 3,516.7,BRL,5.7,3,Neutral,Brazil,Portuguese,2024-11-09,True,4,3,3,3,3,5,eBay,6.249395923907856,1,1,1,1,3,9,1,1
225,Rayaan Trivedi,46,Google,Pixel 7a,751.16,INR,83.0,4,Positive,India,Hindi,2023-05-22,True,5,4,3,4,5,7,Flipkart,6.622949067275821,2,1,2,1,1,11,4,1
226,Desiree Tyler,27,OnePlus,OnePlus Nord 3,894.85,CAD,1.38,4,Positive,Canada,English,2024-07-27,True,5,3,2,3,4,5,BestBuy,6.797772988245907,2,1,2,1,3,9,2,1
229,Dr. Ingetraud Renner MBA.,33,Xiaomi,Poco X6,637.04,EUR,0.93,4,Positive,Germany,German,2024-04-10,True,5,4,3,2,3,3,BestBuy,6.4584009773042474,2,1,2,1,6,13,3,1
230,Phillip Bennett,29,Motorola,Moto G Power,324.52,CAD,1.38,4,Positive,Canada,English,2024-03-04,True,4,5,3,3,2,7,BestBuy,5.7854239036934345,2,1,2,1,2,6,2,1
